,time,1604,1656,1834,3626,4680,5990,9529,10772,11437,13544,15669,16193,17687,17704,18360,18653,19010,19445,19446,21527,23080,23552,24299,25831,26493,26754,27472,31042,32005,32432,33441,33486,34088,34116,34595,37170,41152,41399,41496,41650,45474,47100,47993,49599,49705,53727,54295,57157,57235,57666,58240,58255,59338,60908,63446,63936,64630,64888,65166,66839,69560,70151,71035,72640,74688,74861,75948,76243,76423,76908,77908,80327,81230,81512,81682,82064,83208,83834,83843,84752,85853,86683,86756,87524,88072,92599,95183,97302,97566,98996,99260,99481,100198,101779,102005,103401,105654,105940,106254
0,2022-03-04,,,,0.0,0.05,,,,,0.55,0.94,,,,,,,,,,0.54,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.12,,0.32,,,,,,,,,,,,,,,0.0,,,,
1,2022-03-09,,,,0.0,0.0,,,,,0.42,0.89,,,,,,,,,,0.39,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.0,,,,,,,0.0,,0.08,,,,,,,,,,,,,,0.55,0.0,,,,
2,2022-03-11,0.0,0.0,0.06,,,0.08,0.03,0.17,0.0,,,0.06,0.12,0.0,0.0,,0.0,0.0,0.0,0.04,,0.0,,0.02,0.0,0.52,0.34,0.34,0.07,0.17,0.0,0.43,0.0,0.22,0.21,,0.03,0.0,0.03,0.17,0.04,,0.07,0.0,0.09,0.0,0.0,0.14,0.28,0.05,0.03,0.08,0.23,,0.21,0.03,0.0,0.0,0.2,0.0,0.0,0.0,0.6,,0.08,0.2,0.0,0.24,0.03,0.26,,,0.0,0.09,,0.0,0.0,,0.0,,0.05,0.0,0.0,,0.02,0.0,0.2,0.0,0.13,0.0,0.0,0.25,0.17,,,0.0,0.55,0.0,0.12
3,2022-03-14,,,,,0.0,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.25,0.0,,,,
4,2022-03-19,,,,0.29,0.05,,,,,0.41,0.41,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,0.0,,,,,,,0.09,,0.27,,,,,,,,,,,,,,0.0,,,,,
5,2022-03-21,0.0,0.0,0.04,,,0.1,0.01,0.13,0.0,,,,0.04,0.0,,0.0,0.0,0.0,0.0,0.03,,0.0,0.0,0.0,0.0,0.62,0.25,0.41,0.03,0.38,0.0,0.27,0.0,,0.21,,0.03,0.03,0.01,0.13,0.09,0.15,0.08,0.0,0.12,0.0,0.0,,0.26,0.18,0.07,0.08,0.24,0.57,0.21,0.03,0.0,0.0,0.23,0.0,0.0,0.0,0.07,,,0.16,0.0,0.26,0.0,0.0,,0.05,0.0,0.1,0.0,0.03,0.02,,0.0,,0.09,0.0,0.0,0.17,0.0,0.0,0.22,0.1,0.0,0.0,0.0,0.25,,,,0.0,0.45,0.0,0.0
6,2022-03-24,,,,0.0,0.0,,,,,0.0,0.46,,,,,,,,,,0.41,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,
7,2022-03-26,0.0,0.0,0.01,,,0.1,0.0,0.01,0.0,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.52,0.0,0.43,0.0,0.29,0.0,0.13,0.0,0.13,0.09,,0.0,0.0,0.0,0.08,,0.12,0.06,0.0,0.13,0.0,0.0,0.08,0.26,0.08,0.09,0.0,0.26,,0.18,0.01,0.0,0.0,0.23,0.0,0.0,0.0,0.05,,0.05,0.03,0.0,0.08,0.0,0.0,,0.0,0.0,0.09,0.0,0.0,0.0,,0.0,,0.07,,,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,,,0.0,,0.0,0.0
8,2022-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-04-13,,,,0.19,0.37,,,,,0.16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,0.59,,,,,,,0.24,,0.42,,,,,,,,,,,,,,0.5,0.02,,,,
10,2022-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,
