,time,1105,1520,1827,2852,4534,5851,7139,7883,8202,8371,8853,8941,9054,9077,9511,9641,11001,11429,11447,11485,11741,11939,11988,12038,12299,12327,13019,14340,15045,15741,16318,18536,19016,19113,19672,19684,20824,21242,21297,22208,22877,25055,25472,25865,26126,27035,27323,28310,29696,30481,31123,33108,33329,33487,33871,34041,34079,34304,34700,35881,36112,36345,36751,37096,38111,38880,38896,39534,39582,39615,40395,40527,41540,41587,41919,42012,42028,42049,42300,42897,44827,45178,45183,45266,46358,47359,47520,48638,48738,48921,49000,49139,50510,50531,50646,51380,51869,52327,53045
0,2022-03-04,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.63,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-03-09,,,,1.02,,,,,,,,,,,,,0.47,,,,,,,,,,,0.74,,,,,,,,,,0.18,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-03-11,0.17,0.17,0.25,,0.27,0.1,0.23,0.39,0.34,0.44,0.67,0.4,0.17,0.3,0.77,0.09,,,0.61,0.25,0.12,0.65,0.34,0.66,0.46,0.4,0.73,,1.86,0.59,0.34,0.55,0.51,0.16,0.29,0.53,0.29,,,0.47,0.49,0.33,,0.48,1.58,0.7,0.36,0.0,,0.58,0.25,0.36,0.14,0.69,0.43,0.15,0.51,0.34,0.29,0.43,0.74,1.02,0.2,1.37,,0.66,0.69,0.3,0.29,0.41,0.13,,0.57,1.33,0.44,,0.39,0.11,,0.34,0.35,0.17,0.61,0.21,0.2,0.36,,0.07,0.15,0.59,0.6,0.51,0.57,1.58,0.12,1.15,,0.22,0.66
3,2022-03-14,,,,1.57,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022-03-19,,,,0.8,,,,,,,,,,,,,0.34,,,,,,,,,,,0.7,,,,,,,,,,0.33,0.27,,,,0.62,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-03-21,0.17,0.14,0.25,,0.21,0.1,0.28,0.51,0.59,0.44,,0.37,0.14,0.24,,0.11,,0.24,0.82,0.38,0.13,0.53,0.51,0.49,0.45,0.43,0.97,,2.51,0.57,0.54,0.49,0.56,0.27,0.29,0.59,0.3,,,0.49,0.53,0.43,,0.48,2.06,0.7,0.29,0.0,0.21,0.59,0.38,,0.21,0.66,0.34,0.18,0.53,,0.25,0.49,0.59,1.05,0.26,1.32,,0.67,0.69,0.25,0.31,0.41,0.11,,0.6,1.28,0.4,0.23,0.31,0.1,0.57,0.28,0.43,0.17,0.69,0.19,0.25,0.36,0.25,0.12,0.23,0.7,0.38,0.66,0.59,2.1,0.13,,0.03,0.38,0.79
6,2022-03-24,,,,1.38,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,0.25,0.47,,,,0.55,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022-03-26,0.2,0.06,0.13,,0.2,0.06,0.34,0.59,0.7,,0.67,0.33,0.06,0.18,0.92,0.16,,0.11,0.97,0.31,0.01,0.52,0.2,0.54,0.47,0.44,0.36,,2.4,0.59,0.2,0.52,0.58,0.39,0.29,0.57,0.26,,,0.49,0.52,0.54,,0.56,,0.72,0.29,0.0,0.25,0.59,0.29,0.45,0.17,0.66,0.38,0.22,0.62,0.28,0.22,0.54,0.59,1.11,0.31,1.32,,0.76,0.75,0.27,0.36,0.41,0.06,,0.62,1.3,0.36,0.17,0.32,0.0,0.58,0.22,0.45,0.19,0.7,0.19,,,0.22,0.19,0.3,0.81,0.4,0.81,0.62,2.45,0.14,0.42,0.02,0.62,0.85
8,2022-04-13,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,1.2,,,,,,,,,,1.25,1.67,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
