,time,72,75,1221,1274,1276,1596,1866,2322,3327,3583,3585,3617,3910,4114,4531,4861,4867,5237,5476,5497,5506,5912,6191,7156,7181,7860,8001,8347,8435,8791,8852,9115,9301,9560,9600,9991,10065,10107,10217,10410,10675,10678,10770,11158,11482,12042,12115,12154,13059,13238,13957,14458,14681,15058,15306,15314,15316,15381,16138,16321,16589,16957,17695,17817,17893,17947,18101,18725,18741,18974,19095,19102,19275,19335,19447,19741,20671,20742,21381,21513,21519,21735,21742,22034,22487,22684,22808,23160,23697,23740,23759,24190,24385,24386,24389,24424,25358,25495,25550,25586
0,2022-03-04,,,0.95,0.23,0.46,0.37,,0.0,,,,,,0.1,0.67,0.44,0.33,,,,,0.35,,,,0.12,,0.0,,,,0.89,0.07,0.03,,0.35,0.05,0.16,,,,,0.53,0.53,0.47,,,,0.25,0.32,,0.47,0.49,1.17,,,,,0.31,0.11,0.03,,,,0.7,0.3,,0.79,0.07,0.28,,,,0.17,0.08,,,,,,,0.87,0.44,,0.34,,0.19,,,0.46,,,,,,,0.17,0.63,0.57,0.26
1,2022-03-09,,,0.89,0.06,0.44,0.23,,0.22,,,,,,0.03,0.36,0.22,0.16,,,,,0.14,0.29,,,0.06,0.97,0.0,,,0.0,0.9,0.0,0.0,,0.19,0.04,0.1,,,,,0.22,0.46,0.3,,,,0.2,0.1,,0.34,0.25,0.52,,,,,0.0,0.0,0.0,,0.0,0.1,0.57,0.12,,0.0,0.0,0.05,,,,0.05,0.0,,0.29,0.0,,,,0.85,0.41,0.0,0.3,,0.06,0.0,0.08,0.0,0.0,,,,,,0.15,0.43,0.42,0.02
2,2022-03-11,0.0,0.14,,,,,0.37,,0.09,0.15,0.17,0.17,0.25,,,,,0.19,0.0,0.02,0.57,,,0.03,0.1,,,,0.5,0.03,,,,,0.49,,,,0.07,0.17,0.43,0.12,,,,0.21,0.44,0.16,,,0.72,,,,0.43,0.32,0.08,0.19,,,,0.18,,,,,0.51,,,,0.05,0.07,0.04,,,,,,0.3,0.26,0.25,,,,,0.0,,,,,,0.21,0.06,0.4,0.05,0.17,,,,
3,2022-03-14,,,0.44,0.0,0.35,,,,,,,,,,0.15,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,0.11,0.15,,,,,,,0.79,,,,,0.16,,,,0.17,0.15,,,,,0.0,0.39,0.0,,,,,,,,0.0,,,,,0.03,0.0,,0.31,,,,,,,,0.43,,,,,0.87,0.84,,,,,,0.36,0.39,0.33,0.0
4,2022-03-19,,,,0.14,0.5,0.04,,0.43,,,,,,0.21,,1.21,0.33,,,,,1.03,0.27,,,0.22,1.08,0.02,,,0.25,0.9,,0.33,,0.39,0.66,,,,,,0.36,0.44,0.44,,,,,0.24,,0.44,0.36,0.39,,,,,0.1,0.12,,,0.46,0.88,0.68,0.34,,0.02,0.13,0.85,,,,,0.12,,0.45,0.26,,,,0.9,0.41,0.27,0.89,,0.41,0.29,0.36,0.34,0.22,,,,,,0.29,0.55,0.44,
5,2022-03-21,0.0,0.29,,,,,0.67,,0.09,0.11,0.13,0.03,0.25,,,,,0.2,0.0,0.02,0.52,,,0.0,0.03,,,,0.46,0.07,,,,,0.57,,,,0.07,0.18,0.34,0.13,,,,0.21,0.31,0.19,,,0.77,,,,0.67,0.29,0.0,0.11,,,,0.19,,,,,0.4,,,,0.04,0.07,0.04,,,0.66,,,0.57,0.19,0.25,,,,,0.0,,,,,,0.19,0.05,0.4,0.05,0.12,,,,
6,2022-03-24,,,0.77,0.19,0.59,0.08,,0.07,,,,,,0.0,0.33,0.23,0.21,,,,,0.15,0.19,,,0.23,0.46,0.0,,,0.08,0.58,0.16,0.27,,0.29,0.35,0.19,,,,,0.37,0.37,0.3,,,,0.31,0.11,,0.4,0.37,0.25,,,,,0.0,0.0,0.08,,0.18,0.11,0.6,0.17,,0.0,0.0,0.0,,,,0.28,0.0,,0.56,0.03,,,,0.65,0.01,0.0,0.5,,0.14,0.0,0.23,0.06,0.08,,,,,,0.27,0.52,0.5,0.09
7,2022-03-26,0.0,0.07,,,,,0.35,,0.07,0.1,0.13,0.03,0.22,,,,,0.2,0.0,0.0,0.45,,,0.0,0.0,,,,0.14,0.02,,,,,0.69,,,,0.09,0.2,0.21,0.17,,,,0.14,0.36,0.2,,,0.64,,,,0.29,0.31,0.0,0.0,,,,0.23,,,,,0.41,,,,0.03,0.09,0.05,,,0.75,,,0.25,0.15,0.15,,,,,0.0,,,,,,0.21,0.03,0.44,0.01,0.17,,,,
8,2022-04-10,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-04-13,,,1.73,1.1,1.44,0.44,,1.12,,,,,,,0.82,1.41,,,,,,1.51,,,,,0.82,0.9,,,0.8,1.62,,,,,,,,,,,1.32,,1.2,,,,,1.41,,,1.51,0.92,,,,,0.39,1.04,1.31,,,0.82,1.58,,,0.33,,0.71,,,,1.25,0.96,,1.57,0.94,,,,1.57,0.86,0.56,,,1.15,0.65,1.38,1.05,1.09,,,,,,,1.51,1.38,
10,2022-04-18,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,1.74,,,,,,,,,,0.57,,,,,1.4,2.09,,1.63,,,,,,,,,2.3,1.5,,,,,,,0.31,,,,,,,,,,,,,,,
