,time,1604,4680,13544,17704,23080,47100,65166,66839,98996
0,2022-03-04,,0.05,0.55,,0.54,,,,
1,2022-03-09,,0.0,0.42,,0.39,,,,
2,2022-03-11,0.0,,,0.0,,,0.2,0.0,0.0
3,2022-03-14,,0.0,,,0.34,,,,
4,2022-03-19,,0.05,0.41,,0.41,,,,
5,2022-03-21,0.0,,,0.0,,0.15,0.23,0.0,0.0
6,2022-03-24,,0.0,0.0,,0.41,,,,
7,2022-03-26,0.0,,,0.0,,0.12,0.23,0.0,0.0
8,2022-04-13,,0.37,0.16,,,,,,
9,2022-04-20,,,,,,0.93,0.94,1.43,0.03
10,2022-04-25,,,,,,0.08,,0.63,
11,2022-04-28,,0.68,0.69,,0.48,,,,
12,2022-04-30,0.0,,,0.05,,0.03,0.82,0.0,0.02
13,2022-05-03,,0.15,0.0,,0.06,,,,
14,2022-05-05,0.3,,,0.0,,,,,0.0
15,2022-05-10,0.01,,,0.0,,0.62,0.66,1.1,0.0
16,2022-05-15,0.0,,,0.04,,0.3,1.24,0.26,0.0
17,2022-05-18,,0.34,0.0,,0.05,,,,
18,2022-05-20,0.0,,,0.2,,0.01,0.15,0.07,0.0
19,2022-05-25,,,,,,0.6,,,
20,2022-05-28,,1.2,0.0,,1.9,,,,
21,2022-05-30,0.0,,,0.0,,,,,0.0
22,2022-06-04,0.15,,,0.32,,0.51,0.0,1.81,
23,2022-06-12,,1.76,0.41,,1.46,,,,
24,2022-06-14,,,,,,1.64,1.39,2.7,
25,2022-06-17,,2.12,0.39,,2.57,,,,
26,2022-06-19,1.47,,,1.57,,1.74,0.15,3.32,1.35
27,2022-06-27,,3.83,2.41,,5.58,,,,
28,2022-07-02,,3.86,3.41,,6.87,,,,
29,2022-07-09,3.88,,,,,6.47,1.21,7.0,
30,2022-07-14,4.03,,,2.13,,,,,
31,2022-07-17,,,6.3,,4.98,,,,
32,2022-07-19,1.59,,,4.53,,5.3,3.65,7.0,4.28
33,2022-07-22,,3.83,7.0,,6.47,,,,
34,2022-07-24,1.13,,,5.07,,3.27,,6.65,4.62
35,2022-08-01,,,,,7.0,,,,
36,2022-08-03,0.9,,,5.15,,3.53,,,3.65
37,2022-08-11,,2.81,6.3,,3.99,,,,
38,2022-08-16,,2.47,6.12,,2.03,,,,
39,2022-08-18,,,,,,,3.83,4.9,2.3
40,2022-08-21,,,,,2.06,,,,
41,2022-08-26,,0.02,,,,,,,
42,2022-08-28,,,,,,,3.88,2.74,
43,2022-09-02,,,,1.05,,1.39,3.33,3.42,
44,2022-09-05,,0.48,3.24,,,,,,
45,2022-09-07,0.62,,,1.97,,1.03,2.98,2.4,0.92
46,2022-09-12,,,,0.66,,1.24,3.02,,
47,2022-09-22,0.07,,,1.81,,,,,0.62
