,time,11939,15741,20824,33871,34079,45178,50646,51380,53045
0,2022-03-11,0.65,0.59,0.29,0.43,0.51,0.17,0.12,1.15,0.66
1,2022-03-21,0.53,0.57,0.3,0.34,0.53,0.17,0.13,1.1,0.79
2,2022-03-26,0.52,0.59,0.26,0.38,0.62,0.19,0.14,0.42,0.85
3,2022-04-15,,,,,3.15,,,,
4,2022-04-20,,,,,,0.73,1.01,,
5,2022-04-30,2.55,1.7,1.98,2.01,2.23,0.75,1.2,2.86,
6,2022-05-05,,,,,,,,,4.01
7,2022-05-10,,3.14,3.15,2.72,4.03,1.2,1.5,4.95,4.35
8,2022-05-15,4.78,3.84,3.66,2.51,,1.2,1.59,4.35,5.27
9,2022-05-20,4.45,3.06,4.23,2.93,3.68,1.31,1.57,4.45,5.38
10,2022-05-30,,,6.47,,,,,,
11,2022-06-04,,,,2.58,,1.44,,3.91,
12,2022-06-14,2.75,,4.3,,1.23,,0.61,,
13,2022-06-19,3.99,2.2,3.41,1.06,0.39,1.45,0.49,2.4,1.41
14,2022-06-24,,,,,,,,,0.72
15,2022-07-04,2.1,0.86,,,0.36,,,,
16,2022-07-09,,,1.12,,0.54,1.62,0.85,0.34,0.39
17,2022-07-14,0.76,0.29,0.75,0.69,1.7,,0.33,,
18,2022-07-19,0.43,0.33,0.56,0.76,0.0,0.41,0.54,0.04,0.11
19,2022-07-24,0.42,0.16,0.43,,,0.0,,0.03,0.12
20,2022-08-03,0.77,0.28,0.45,1.11,0.06,0.01,0.14,0.01,0.17
21,2022-08-08,,,,,0.16,,,,
22,2022-08-13,0.11,0.29,0.04,,,0.51,0.07,0.13,0.31
23,2022-08-18,0.08,,0.06,0.62,0.62,1.57,0.43,0.9,0.27
24,2022-09-02,0.59,0.62,,1.06,,2.3,,2.77,1.31
25,2022-09-07,0.65,0.74,0.02,1.4,1.44,1.91,0.68,2.5,0.41
26,2022-09-12,,,,,,,,0.06,
27,2022-09-22,,,,,,,,,2.5
